step,df,V,P,Q,I,action,reward,load_disturbance
125,-0.07459606230258942,0.992790162563324,0.9131389260292053,0.3409929871559143,0.9818088412284851,0.01031432580202818,-0.11186472159530793,0.35
126,-0.07630454748868942,0.992310643196106,0.9128574132919312,0.3473629951477051,0.9842821955680847,0.009543241932988167,-0.11708460032776019,0.35
127,-0.0761573389172554,0.9920788407325745,0.916729211807251,0.34010040760040283,0.9855905771255493,0.010173184797167778,-0.11667807333455138,0.35
128,-0.07897092401981354,0.9927793741226196,0.9217209219932556,0.34144771099090576,0.9900813102722168,0.010156992822885513,-0.12530108506364107,0.35
129,-0.0804605484008789,0.9919496178627014,0.9260232448577881,0.34820371866226196,0.9973545670509338,0.010935261845588684,-0.1301859930987055,0.35
130,-0.08093554526567459,0.9931053519248962,0.9205774664878845,0.344791978597641,0.989852786064148,0.011645004153251648,-0.13155451931269035,0.35
131,-0.07885204255580902,0.9932518601417542,0.9265734553337097,0.3387603163719177,0.9932608008384705,0.01119013037532568,-0.12487090980137036,0.35
132,-0.07762236893177032,0.9930304288864136,0.9165444374084473,0.34045127034187317,0.9845947027206421,0.011112837120890617,-0.12105213433194902,0.35
133,-0.07803699374198914,0.99310302734375,0.924151599407196,0.34041351079940796,0.9916937947273254,0.010265239514410496,-0.12232396650752761,0.35
134,-0.07835664600133896,0.9922682046890259,0.9100922346115112,0.3445688784122467,0.9807196855545044,0.01093304343521595,-0.12345294306009712,0.35
135,-0.08113539218902588,0.9911134243011475,0.9166361689567566,0.3449648320674896,0.9881806373596191,0.010071879252791405,-0.13249960519222723,0.35
136,-0.08058349788188934,0.9909729957580566,0.9157490730285645,0.34683167934417725,0.9881486296653748,0.01112051960080862,-0.13075091850144202,0.35
137,-0.08149956166744232,0.9897414445877075,0.9238582253456116,0.3454456925392151,0.9965531826019287,0.011105142533779144,-0.1339576127055472,0.35
138,-0.07927078753709793,0.9905223846435547,0.9250157475471497,0.34825757145881653,0.9978588223457336,0.011658087372779846,-0.126643427447826,0.35
139,-0.07911989092826843,0.9916037321090698,0.917307436466217,0.3436463177204132,0.9878583550453186,0.011623031459748745,-0.12597166694971312,0.35
140,-0.08115114271640778,0.9922897815704346,0.9192526936531067,0.3372485041618347,0.9867721796035767,0.01083720289170742,-0.1323634667431987,0.35
141,-0.08022689819335938,0.9917703866958618,0.9199559688568115,0.3462040424346924,0.9910989999771118,0.010821565054357052,-0.12946291697830928,0.35
142,-0.08050704747438431,0.9922485947608948,0.9106982946395874,0.34784239530563354,0.9824826121330261,0.011261721141636372,-0.1302919983792896,0.35
143,-0.0818534567952156,0.9914519786834717,0.924701452255249,0.3449625074863434,0.9954599738121033,0.010600474663078785,-0.13478673528626178,0.35
144,-0.07953884452581406,0.9932159185409546,0.9206475019454956,0.340547114610672,0.9883178472518921,0.011616638861596584,-0.12705646595281095,0.35
145,-0.07627937942743301,0.9928886294364929,0.9200951457023621,0.3480173647403717,0.9907586574554443,0.010827098973095417,-0.11693532678708028,0.35
146,-0.08038149774074554,0.9923229217529297,0.9253625869750977,0.3401433229446411,0.9935246109962463,0.010801387950778008,-0.12987139868999625,0.35
147,-0.07930534332990646,0.9913765788078308,0.9197653532028198,0.34470903873443604,0.9907825589179993,0.011324910447001457,-0.12659456760263005,0.35
148,-0.07817763090133667,0.9919372200965881,0.9171864986419678,0.3448285162448883,0.9878309369087219,0.011125226505100727,-0.12294681116195279,0.35
149,-0.07762948423624039,0.991400957107544,0.9218116402626038,0.346640408039093,0.9933752417564392,0.010745761916041374,-0.12132394104412453,0.35
150,-0.07701621949672699,0.9909961223602295,0.9212281703948975,0.34767946600914,0.9935996532440186,0.01119039673358202,-0.11950331373156672,0.35
151,-0.07653398811817169,0.9910088777542114,0.9101718664169312,0.3456832468509674,0.9824398159980774,0.011169279925525188,-0.1180197973210602,0.35
152,-0.07618509232997894,0.9905198216438293,0.9159290790557861,0.352802574634552,0.9909213781356812,0.010012487880885601,-0.1170324980426219,0.35
153,-0.07808318734169006,0.991252601146698,0.9162172079086304,0.3450682759284973,0.987683117389679,0.010914315469563007,-0.12276457944440558,0.35
154,-0.0764012411236763,0.9918736219406128,0.9197003245353699,0.34204572439193726,0.989285409450531,0.010734998621046543,-0.11746100230840792,0.35
155,-0.07706448435783386,0.9910192489624023,0.9116160869598389,0.34642842411994934,0.9840588569641113,0.010580688714981079,-0.1196412072640221,0.35
156,-0.07781638205051422,0.9898734092712402,0.910550057888031,0.35310444235801697,0.9866097569465637,0.010264316573739052,-0.12218597178794413,0.35
157,-0.07597164809703827,0.9903607964515686,0.9091123342514038,0.3527124226093292,0.9846275448799133,0.010747849941253662,-0.11642078110955821,0.35
158,-0.07920189201831818,0.9906017184257507,0.9175992012023926,0.353013813495636,0.9924894571304321,0.010278505273163319,-0.1263949320016672,0.35
159,-0.07870833575725555,0.9897388219833374,0.9137693643569946,0.34953275322914124,0.9884822368621826,0.01140326727181673,-0.12501824018028546,0.35
160,-0.08006007969379425,0.9911870956420898,0.9188091158866882,0.35045573115348816,0.9921200275421143,0.0109809385612607,-0.12902932898976754,0.35
161,-0.0781751424074173,0.9919606447219849,0.9212050437927246,0.3454492390155792,0.9918200373649597,0.01140058133751154,-0.12293838697518061,0.35
162,-0.07778675109148026,0.9896212220191956,0.9226555824279785,0.35289105772972107,0.9981988072395325,0.011090640909969807,-0.12215428683712773,0.35
163,-0.07443172484636307,0.9904805421829224,0.9110085964202881,0.34930118918418884,0.9850553870201111,0.01160894799977541,-0.11177528134599934,0.35
164,-0.07540172338485718,0.9895848035812378,0.9140946269035339,0.353303462266922,0.9903103709220886,0.010034509934484959,-0.11484400270796097,0.35
165,-0.078261598944664,0.9879873394966125,0.916172981262207,0.3569352626800537,0.9952025413513184,0.010767829604446888,-0.12399867389602558,0.35
166,-0.07731003314256668,0.9863163232803345,0.9136766195297241,0.35336077213287354,0.9932177662849426,0.011534202843904495,-0.1214759032756496,0.35
167,-0.07590235769748688,0.985813319683075,0.9051051139831543,0.35485461354255676,0.986172080039978,0.011316998861730099,-0.11730001953378899,0.35
168,-0.0755230262875557,0.9861785769462585,0.9153631329536438,0.36036473512649536,0.9975314140319824,0.010518635623157024,-0.11604032303953093,0.35
169,-0.0780063197016716,0.9875990152359009,0.9192580580711365,0.3576678931713104,0.9987740516662598,0.011508396826684475,-0.12330397961999953,0.35
170,-0.07654336094856262,0.9884829521179199,0.912925124168396,0.35575807094573975,0.9912097454071045,0.011706976220011711,-0.11857268665899218,0.35
